,first_name,last_name,country,phone_number,sales_contact_code,invoice_number,invoice_date,total
0,Anita,Ruiz,Canada,+250766666657,3,47,2021-04-02,99.0
1,Anita,Ruiz,Canada,+250766666657,3,68,2020-12-17,396.0
2,Anita,Ruiz,Canada,+250766666657,3,157,2023-06-03,1485.0
3,Anita,Ruiz,Canada,+250766666657,3,158,2022-05-03,198.0
4,Anita,Ruiz,Canada,+250766666657,3,214,2023-04-17,594.0
5,Anita,Ruiz,Canada,+250766666657,3,228,2024-02-03,297.0
6,Anita,Ruiz,Canada,+250766666657,3,232,2020-09-30,891.0
7,Anita,Ruiz,Canada,+250766666657,3,254,2021-10-26,891.0
8,Anita,Ruiz,Canada,+250766666657,3,324,2022-05-28,693.0
9,Anita,Ruiz,Canada,+250766666657,3,335,2023-12-08,891.0
10,Anita,Ruiz,Canada,+250766666657,3,351,2020-09-28,693.0
11,Anita,Ruiz,Canada,+250766666657,3,407,2022-01-06,693.0
12,Anita,Ruiz,Canada,+250766666657,3,527,2023-05-02,495.0
13,Kimberly,Taylor,United Kingdom,+250766666656,3,218,2023-12-11,198.0
14,Kimberly,Taylor,United Kingdom,+250766666656,3,304,2023-07-10,99.0
15,Kimberly,Taylor,United Kingdom,+250766666656,3,380,2020-03-23,990.0
16,Kimberly,Taylor,United Kingdom,+250766666656,3,381,2021-09-26,693.0
17,Kimberly,Taylor,United Kingdom,+250766666656,3,535,2023-04-21,990.0
18,Daniel,Wilkerson,USA,+250766666622,5,43,2023-06-13,891.0
19,Daniel,Wilkerson,USA,+250766666622,5,83,2022-02-12,990.0
20,Daniel,Wilkerson,USA,+250766666622,5,109,2020-09-15,594.0
21,Daniel,Wilkerson,USA,+250766666622,5,150,2022-10-14,1089.0
22,Daniel,Wilkerson,USA,+250766666622,5,276,2021-12-12,1287.0
23,Daniel,Wilkerson,USA,+250766666622,5,278,2022-04-06,1089.0
24,Daniel,Wilkerson,USA,+250766666622,5,297,2023-02-01,99.0
25,Daniel,Wilkerson,USA,+250766666622,5,310,2021-02-01,594.0
26,Daniel,Wilkerson,USA,+250766666622,5,330,2020-12-04,198.0
27,Daniel,Wilkerson,USA,+250766666622,5,518,2022-02-20,990.0
28,Daniel,Wilkerson,USA,+250766666622,5,522,2020-05-04,1980.0
